2020-05-11 11:34:26.406 WARN  [10288] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 11:36:36.402 INFO  [18752] Logger 0 Initialized
2020-05-11 11:36:36.704 WARN  [6920] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 11:36:36.705 WARN  [6920] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 11:39:53.650 INFO  [7200] Logger 0 Initialized
2020-05-11 11:39:53.995 WARN  [17252] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 11:39:53.996 WARN  [17252] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 11:42:27.804 INFO  [22844] Logger 0 Initialized
2020-05-11 11:42:28.108 WARN  [11408] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 11:42:28.108 WARN  [11408] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 11:47:19.781 INFO  [22948] Logger 0 Initialized
2020-05-11 11:47:20.098 WARN  [1960] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 11:47:20.098 WARN  [1960] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 11:52:06.890 INFO  [8572] Logger 0 Initialized
2020-05-11 11:52:07.189 WARN  [10500] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 11:52:07.189 WARN  [10500] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 12:13:21.410 INFO  [19944] Logger 0 Initialized
2020-05-11 12:13:21.705 WARN  [15448] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 12:13:21.705 WARN  [15448] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 12:21:43.691 INFO  [6844] Logger 0 Initialized
2020-05-11 12:21:43.984 WARN  [17376] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 12:21:43.985 WARN  [17376] Opened an existing mutex when trying to create NamedMutex sim2_mutex
